246,6
214,42
549,42
690,6
3,6
219,2
119,4
613,1
150,6
43,2
613,2
219,16
690,2
478,4
74,4
13,8
3,12
119,10
478,8
636,1
312,12
617,2
636,5
639,14
165,6
254,16
358,12
617,4
119,2
500,10
651,2
74,4
119,1
299,1
636,10
478,7
542,2
219,14
214,1
299,2
8,8
549,4
545,1
522,4
208,12
545,6
119,4
176,2
240,4
478,2
637,20
542,4
358,3
283,2
608,8
154,4
694,10
690,1
265,1
10,1
8,12
569,4
478,2
639,8
119,10
690,8
419,12
704,18
500,8
545,22
636,6
13,2
522,12
240,2
561,2
214,4
542,4
219,2
451,10
401,2
694,16
423,4
3,6
10,6
590,3
129,16
227,6
74,4
265,2
478,4
208,6
617,8
219,4
690,6
8,2
312,4
590,2
608,28
470,4
120,2
265,6
214,6
239,2
219,1
296,1
313,2
569,6
358,6
10,8
419,2
296,2
427,2
120,4
227,6
561,4
637,2
3,4
74,6
478,4
704,8
299,6
176,8
401,4
214,2
617,2
542,6
522,12
613,2
419,2
437,2
246,2
496,4
451,8
357,4
265,12
561,6
477,1
423,8
214,1
545,3
358,2
274,2
549,2
509,2
569,32
227,12
74,8
401,2
694,6
119,4
10,8
90,10
129,4
358,4
549,1
3,4
690,4
427,2
401,2
154,4
477,4
637,2
549,6
542,2
500,4
299,2
312,4
561,2
478,6
274,2
423,2
639,2
545,2
150,4
219,6
590,4
509,6
263,8
120,6
451,2
357,4
208,4
617,2
704,6
613,2
250,8
203,8
246,4
306,14
313,2
13,2
240,2
274,1
694,20
423,8
445,22
690,4
367,1
283,2
358,2
32,6
561,1
274,2
591,10
10,2
227,1
208,9
38,4
82,6
299,2
367,2
357,10
137,4
617,6
119,8
509,2
74,4
176,26
274,2
545,2
2,2
427,4
608,2
129,8
401,2
312,4
32,7
38,4
437,10
246,8
509,4
227,1
459,2
13,4
554,2
639,12
545,4
704,16
82,1
1,31
219,1
296,4
227,10
561,2
478,2
137,22
159,4
90,2
367,2
74,2
401,8
175,4
265,4
69,14
150,2
203,4
78,8
459,2
310,2
428,4
478,2
47,10
355,2
306,4
367,2
170,8
365,2
357,4
274,16
423,17
208,4
506,2
335,4
478,4
321,16
214,2
150,2
522,4
437,2
74,1
459,2
358,1
265,2
100,2
694,2
637,6
542,6
3,10
690,1
10,8
129,1
13,4
639,1
506,2
126,2
306,4
82,2
90,2
99,4
365,2
358,4
220,2
311,6
214,12
549,4
617,2
150,8
43,8
34,2
608,8
159,4
227,2
302,12
134,6
265,4
477,22
171,8
591,6
119,4
613,2
437,12
246,4
254,2
13,10
312,10
256,4
208,4
445,4
99,2
61,12
220,12
401,1
428,2
175,6
183,2
478,4
100,4
88,6
542,4
313,2
651,4
74,8
459,2
637,3
617,6
246,82
367,4
569,4
170,2
401,1
64,8
30,2
208,6
355,4
3,1
150,1
43,2
590,4
509,1
82,1
90,1
478,1
335,6
62,10
134,10
401,6
125,1
155,4
177,4
423,8
637,8
3,2
119,2
10,2
613,20
419,8
321,1
697,2
90,2
170,4
5,4
428,4
341,8
175,1
137,6
100,6
125,4
229,2
311,2
639,4
10,3
313,2
569,8
176,6
694,2
36,6
355,2
549,4
119,2
459,2
13,1
23,6
175,2
274,4
177,6
57,2
208,8
321,2
617,6
150,20
263,1
220,27
163,3
159,2
129,2
74,4
13,2
302,2
61,12
201,6
32,2
154,2
561,10
125,4
694,2
47,2
636,4
56,4
136,4
310,4
5,18
428,2
312,2
69,8
229,4
30,4
182,6
637,8
214,10
3,2
119,4
704,2
590,1
38,1
519,6
163,6
129,10
227,2
335,4
302,16
64,2
274,1
155,8
321,8
34,4
651,4
253,18
169,10
357,8
154,12
312,2
265,16
554,2
137,2
477,12
274,2
355,6
263,2
227,2
229,2
30,4
208,8
266,2
38,2
496,2
78,2
636,2
428,10
68,8
267,2
274,2
36,6
182,6
419,2
519,8
56,8
176,15
88,2
694,2
47,2
229,24
38,2
286,10
310,10
335,2
61,10
30,2
214,6
183,36
64,4
267,10
137,4
155,2
47,4
160,2
177,2
119,2
38,8
322,2
129,5
136,6
561,6
135,2
125,2
36,2
30,2
208,4
266,6
311,6
442,2
78,4
196,2
335,12
13,2
23,6
88,8
155,8
313,2
90,4
100,2
119,1
168,5
120,6
99,34
129,2
13,12
302,4
186,8
401,2
201,4
357,28
154,1
312,2
265,2
69,4
135,22
378,2
68,2
171,14
208,1
182,4
150,6
10,2
313,1
266,1
296,2
253,2
136,6
227,4
154,6
137,6
47,8
208,4
214,2
306,1
114,8
196,2
176,2
5,2
220,8
267,4
57,2
30,2
119,4
219,6
313,4
253,37
302,10
61,3
201,12
341,10
312,4
88,2
177,4
266,8
182,4
2,2
8,1
78,8
286,6
69,16
97,2
36,2
30,2
239,4
3,4
150,4
10,14
120,1
299,2
134,2
267,2
57,2
208,2
313,2
227,2
74,2
186,6
64,4
274,2
36,16
177,6
30,3
311,2
219,2
90,2
1,2
114,8
13,4
23,2
61,1
312,8
267,8
100,2
292,2
47,4
256,2
168,1
208,4
214,3
88,1
219,1
109,10
254,4
351,1
56,2
129,4
286,2
61,4
220,8
97,4
68,2
172,1
