1,246,6
2,690,2
3,694,14
4,694,4
5,423,18
6,694,8
7,10,2
8,283,2
9,451,14
10,704,28
11,423,2
12,214,1
13,214,8
14,423,34
15,10,8
16,690,8
17,694,2
18,119,2
19,283,1
20,299,2
21,119,1
22,214,1
23,239,2
24,283,6
25,441,12
26,10,54
27,613,4
28,214,2
29,180,18
30,198,20
31,283,2
32,299,2
33,246,4
34,704,1
35,451,14
36,694,10
37,704,8
38,227,8
39,299,2
40,263,14
41,694,6
42,423,16
43,35,14
44,299,2
45,306,12
46,246,1
47,299,1
48,214,4
49,246,10
50,198,10
51,227,11
52,441,1
53,694,4
54,441,8
55,180,42
56,214,26
57,477,12
58,299,2
59,451,16
60,198,11
61,246,12
62,283,4
63,10,6
64,355,2
65,423,4
66,227,8
67,441,2
68,306,4
69,451,24
70,549,4
71,299,18
72,274,1
73,283,4
74,35,1
75,591,1
76,355,1
77,274,8
78,78,10
79,109,48
80,477,32
81,591,8
82,227,2
83,246,4
84,355,10
85,283,8
86,35,6
87,572,10
88,423,1
89,246,6
90,306,6
91,214,18
92,274,2
93,311,4
94,694,6
95,423,4
96,210,2
97,355,10
98,312,8
99,180,6
100,246,78
101,451,4
102,549,18
103,176,6
104,311,18
105,227,6
106,704,2
107,274,5
108,312,8
109,441,2
110,694,10
111,357,16
112,180,2
113,299,18
114,477,22
115,355,1
116,274,48
117,91,8
118,176,2
119,263,10
120,227,2
121,201,8
122,694,6
123,180,4
124,91,20
125,306,2
126,10,12
127,180,2
128,214,6
129,227,18
130,306,22
131,35,2
132,129,6
133,263,8
134,299,4
135,155,16
136,10,13
137,109,8
138,214,4
139,68,14
140,312,2
141,299,2
142,196,2
143,91,12
144,227,24
145,176,4
146,263,6
147,180,4
148,239,2
149,306,10
150,78,6
151,214,4
152,91,60
153,312,1
154,312,6
155,263,16
156,109,1
157,312,1
158,78,1
159,109,6
160,129,20
161,311,4
162,299,4
163,229,6
164,78,18
165,334,4
166,227,18
167,283,12
168,246,56
169,109,2
170,306,24
171,357,18
172,10,22
173,351,2
174,109,4
175,193,12
176,299,2
177,355,2
178,299,1
179,351,2
180,109,10
181,239,2
182,312,10
183,82,8
184,365,6
185,351,10
186,180,2
187,311,1
188,97,6
189,227,6
190,326,6
191,334,4
192,239,2
193,129,2
194,193,14
195,335,10
196,180,26
197,299,10
198,365,1
199,176,12
200,306,16
201,312,4
202,357,3
203,214,10
204,227,1
205,365,6
206,163,2
207,68,2
208,10,4
209,272,1
210,171,16
211,351,10
212,129,4
213,35,7
214,239,8
215,227,2
216,78,6
217,283,2
218,97,10
219,227,2
220,326,4
221,245,1
222,196,6
223,283,28
224,357,2
225,10,2
226,274,4
227,351,8
228,193,10
229,335,4
230,245,2
231,176,4
232,35,11
233,299,12
234,99,2
235,91,4
236,326,14
237,163,2
238,68,10
239,16,2
240,274,8
241,91,2
242,263,6
243,278,4
244,306,8
245,214,2
246,246,27
247,35,4
248,180,12
249,109,6
250,91,4
251,335,6
252,163,2
253,129,10
254,355,14
255,176,2
256,193,12
257,97,2
258,10,6
259,245,8
260,176,2
261,334,2
262,97,8
263,91,8
264,176,4
265,263,8
266,274,6
267,357,20
268,35,20
269,68,1
270,272,2
271,334,2
272,68,2
273,99,6
274,239,2
275,97,4
276,283,2
277,180,2
278,214,4
279,355,4
280,68,1
281,312,1
282,283,1
283,274,2
284,68,20
285,312,2
286,227,2
287,97,1
288,193,2
289,176,4
290,306,1
291,263,8
292,34,12
293,283,8
294,180,6
295,227,9
296,272,4
297,351,8
298,91,2
299,246,6
300,99,4
301,274,4
302,365,6
303,196,4
304,78,2
305,278,6
306,311,16
307,335,10
308,97,4
309,306,1
310,227,1
311,263,2
312,214,2
313,193,6
314,34,3
315,312,2
316,357,22
317,35,2
318,227,4
319,326,12
320,78,5
321,176,6
322,365,6
323,109,2
324,306,6
325,214,14
326,193,14
327,163,10
328,180,10
329,239,8
330,355,14
331,326,6
332,176,8
333,306,20
334,365,2
335,334,2
336,97,4
337,312,6
338,196,22
339,176,10
340,34,4
341,191,2
